"bbl","address","zipcode","unitsres","numfloors","latitude","longitude"
"4038280054","78-08 79 PLACE","11385",1,2,40.704568,-73.8708224
"4038280055","78-10 79 PLACE","11385",2,2,40.7045186,-73.8708045
"4038280056","78-12 79 PLACE","11385",1,2,40.7044664,-73.8707793
"4038280057","78-14 79 PLACE","11385",1,2,40.7044115,-73.8707578
"4038280058","78-16 79 PLACE","11385",1,2,40.704362,-73.8707399
"4038280059","78-18 79 PLACE","11385",1,2,40.7043099,-73.8707183
"4038280060","78-20 79 PLACE","11385",1,2,40.7042577,-73.8706968
"4038280061","78-22 79 PLACE","11385",1,2,40.7042055,-73.8706752
"4038260046","78-55 76 STREET","11385",2,2,40.7030904,-73.8724699
"4038260047","78-53 76 STREET","11385",1,2,40.7031426,-73.8724914
"4038260048","78-51 76 STREET","11385",2,2,40.7031947,-73.872513
"4038260049","78-49 76 STREET","11385",1,2,40.7032469,-73.8725345
"4038260050","78-47 76 STREET","11385",1,2,40.7032991,-73.8725561
"4038260051","78-45 76 STREET","11385",1,2,40.7033513,-73.8725776
"4038260052","78-43 76 STREET","11385",1,2,40.7034034,-73.8725991
"4038260053","78-41 76 STREET","11385",2,2,40.7034584,-73.8726207
"4038260054","78-39 76 STREET","11385",2,2,40.7035078,-73.8726422
"4038260055","78-37 76 STREET","11385",2,2,40.70356,-73.8726638
"4038260056","78-35 76 STREET","11385",2,2,40.7036149,-73.8726853
"4038260057","78-33 76 STREET","11385",1,2,40.7036671,-73.8727068
"4038260058","78-31 76 STREET","11385",1,2,40.7037192,-73.8727284
"4038270020","78-18 79 STREET","11385",2,2,40.7040968,-73.8716132
"4038270021","78-20 79 STREET","11385",2,2,40.7040473,-73.8715916
"4038270022","78-22 79 STREET","11385",2,2,40.7039952,-73.8715701
"4038270023","78-24 79 STREET","11385",1,1,40.7039402,-73.8715486
"4038270024","78-26 79 STREET","11385",2,2,40.7038881,-73.871527
"4038270025","78-28 79 STREET","11385",1,2,40.7038331,-73.8715055
"4038270026","78-30 79 STREET","11385",2,2,40.7037837,-73.8714803
"4038270027","78-32 79 STREET","11385",2,2,40.7037315,-73.8714624
"4038270028","78-34 79 STREET","11385",2,2,40.7036794,-73.8714409
"4038270029","78-36 79 STREET","11385",2,2,40.7036272,-73.8714157
"4038270030","78-38 79 STREET","11385",2,2,40.703575,-73.8713978
"4038270031","78-40 79 STREET","11385",2,2,40.7035228,-73.8713763
"4038270032","78-42 79 STREET","11385",2,2,40.7034707,-73.8713547
"4038270033","78-44 79 STREET","11385",3,2,40.7034103,-73.8713296
"4038280011","78-39 79 STREET","11385",1,2,40.7036649,-73.870817
"4038280012","78-37 79 STREET","11385",2,2,40.7037226,-73.8708385
"4038280014","78-33 79 STREET","11385",2,2,40.7037858,-73.8708672
"4038280015","78-31 79 STREET","11385",3,2,40.7038517,-73.8708923
"4038280016","78-29 79 STREET","11385",2,2,40.7039148,-73.8709175
"4038280018","78-25 79 STREET","11385",2,2,40.7040219,-73.8709605
"4038280019","78-23 79 STREET","11385",2,2,40.7040741,-73.8709821
"4038280020","78-21 79 STREET","11385",2,2,40.7041263,-73.8710036
"4038280021","78-19 79 STREET","11385",2,2,40.7041785,-73.8710251
"4038280022","78-17 79 STREET","11385",1,2,40.7042306,-73.8710467
"4038280023","78-15 79 STREET","11385",2,2,40.7042828,-73.8710682
