bbl,star
"4023750180","false"
"4023750181","false"
"4023750182","false"
"4023750184","true"
"4023750186","false"
"4023750188","false"
"4023750189","false"
"4023750190","false"
"4023750191","false"
"4023750192","false"
"4023750193","false"
"4023750194","true"
"4023750195","true"
"4023750196","true"
"4023750197","true"
"4023750198","true"
"4023750199","false"
"4023750200","false"
"4023750201","true"
"4023760100","false"
"4023770018","false"
"4023770022","false"
"4023770029","false"
"4023770030","false"
"4023790003","true"
"4023790005","true"
"4023790008","false"
"4023790009","false"
"4023790012","true"
"4023790015","true"
"4023790018","false"
"4023790020","true"
"4023790021","false"
"4023790023","true"
"4023790026","true"
"4023790027","true"
"4023790030","false"
"4023790031","false"
"4023790033","false"
"4023790034","true"
"4023790037","true"
"4023790040","false"
"4023790042","true"
"4023790043","false"
"4023790045","true"
"4023790047","false"
"4023790048","false"
"4023790049","true"
"4023790052","false"
"4023790055","true"
"4023790056","false"
"4023800001","true"
"4023800002","true"
"4023800003","true"
"4023800004","true"
"4023800006","true"
"4023800007","true"
"4023800008","true"
"4023800009","true"
"4023800010","false"
"4023800011","true"
"4023800012","true"
"4023800013","false"
"4023800014","true"
"4023800015","true"
"4023800016","false"
"4023800017","false"
"4023800018","true"
"4023800019","true"
"4023800021","true"
"4023800022","false"
"4023800024","false"
"4023800025","true"
"4023800027","true"
"4023800028","false"
"4023800030","true"
"4023800031","true"
"4023800032","false"
"4023800033","true"
"4023800034","false"
"4023800035","true"
"4023800041","true"
"4023800042","true"
"4023800043","false"
"4023800044","true"
"4023800046","true"
"4023800047","false"
"4023800048","true"
"4023800049","false"
"4023800050","true"
"4023800053","false"
"4023800056","false"
"4023800057","true"
"4023800059","false"
"4023800060","true"
"4023800061","true"
"4023800062","false"
"4023800063","false"
"4023800065","true"
"4023800068","false"
"4023800070","false"
"4023800073","true"
"4023800077","false"
"4023800080","true"
"4023800081","false"
"4023800082","false"
"4023800083","false"
"4023800084","true"
"4023800085","true"
"4023800087","false"
"4023800088","true"
"4023800091","true"
"4023800092","true"
"4023800093","false"
"4023800094","true"
"4023800095","true"
"4023800096","true"
"4023800097","true"
"4023800101","true"
"4023800102","true"
"4023800103","true"
"4023800104","false"
"4023800105","true"
"4023800106","true"
"4023800107","false"
"4023810001","false"
"4023810002","false"
"4023810003","false"
"4023810004","false"
"4023810005","false"
"4023810006","false"
"4023810007","false"
"4023810008","false"
"4023810009","false"
"4023810010","false"
"4023810011","false"
"4023810013","false"
"4023810014","false"
"4023810015","true"
"4023810016","false"
"4023810017","false"
"4023810018","true"
"4023810019","true"
"4023810020","false"
"4023810021","false"
"4023810023","true"
"4023810024","false"
"4023810025","true"
"4023810026","true"
"4023810027","false"
"4023810028","false"
"4023810030","false"
"4023810031","false"
"4023810033","false"
"4023810034","false"
"4023810035","false"
"4023810036","false"
"4023810037","false"
"4023810039","false"
"4023810040","false"
"4023810042","false"
"4023810063","true"
"4023810064","true"
"4023810065","false"
"4023810066","false"
"4023810067","false"
"4023810068","true"
"4023810069","true"
"4023810070","true"
"4023810071","true"
"4023810072","false"
"4023810073","false"
"4023810074","true"
"4023810075","true"
"4023810076","false"
"4023810077","false"
"4023810078","false"
"4023810079","false"
"4023810080","true"
"4023810081","true"
"4023810082","true"
"4023810083","false"
"4023810084","true"
"4023810085","false"
"4023810086","false"
"4023810087","true"
"4023810088","false"
"4023810089","true"
"4023810090","true"
"4023810091","false"
"4023810092","true"
"4023810093","true"
"4023810094","false"
"4023810095","true"
"4023810096","true"
"4023810098","false"
"4023810099","false"
"4023810100","false"
"4023810101","false"
"4023810168","false"
"4023810184","true"
"4023820007","false"
"4023820008","false"
"4023820009","true"
"4023820010","true"
"4023820011","false"
"4023820012","false"
"4023820013","false"
"4023820014","true"
"4023820015","false"
"4023820016","true"
"4023820017","true"
"4023820018","false"
"4023820019","false"
"4023820040","true"
"4023820044","true"
"4023820048","false"
"4023820050","true"
"4023820051","false"
"4023820053","true"
"4023820054","false"
"4023820055","false"
"4023820056","false"
"4023820057","false"
"4023820059","false"
"4023820060","false"
"4023820061","false"
"4023820062","false"
"4023820063","false"
"4023820065","true"
"4023820066","true"
"4023820067","false"
"4023820068","false"
"4023820070","false"
"4023820071","true"
"4023820073","false"
"4023820074","false"
"4023820076","true"
"4023820077","true"
"4023820079","false"
"4023820080","true"
"4023820082","false"
"4023830016","true"
"4023830017","true"
"4023830018","false"
"4023830019","false"
"4023940001","true"
"4023940003","false"
"4023940004","true"
"4023940017","true"
"4023940027","false"
"4023940030","false"
"4023940031","false"
"4023940033","false"
"4023940034","true"
"4023940036","true"
"4023940039","false"
"4023940040","false"
"4023940106","true"
"4023940118","false"
"4023940120","false"
"4023960001","true"
"4023960003","false"
"4023960004","true"
"4023960006","false"
